fact_id,qid,name_a_dev,name_a_lat,name_b_dev,name_b_lat,dev_lang,relation_tier_num,relation_tier,name_b_dev_source,name_b_lat_source,generated_lat,name_b_cross_score,occupation_qids,country_qids,lang_priority,a_b_dev_similarity,audit_pass,issues,split,sim_first_name,sim_second_name,devanagari_pair_similarity,machine_notes,same_person,both_are_real_names,two_scripts_same_name_a,two_scripts_same_name_b,keep,reviewer_notes,source_url,review_method,corpus_batch,name_a_dev_source,name_a_lat_source,name_a_cross_score,a_b_lat_similarity,sitelink_count
q1001,Q1001,महात्मा गांधी,Mahatma Gandhi,बापू,Bapu,hi,2,explicit_plus_alias:nickname,verified_hindi,alias,FALSE,100,Q1021386|Q11774156|Q11774202|Q15958642|Q16003550|Q16323111|Q17351648|Q185351|Q18814623|Q1930187|Q22336956|Q30242234|Q3242115|Q36180|Q40348|Q482980|Q4964182|Q808967|Q82955,Q129286|Q1775277|Q668,0,12.5,1,,train,0.83,0.8,0,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q1001,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,verified_hindi,,,,
q101251352,Q101251352,सूरज येंगड़े,Suraj Yengde,सूरज मिलिंद येंगड़े,Suraj Milind Yengde,hi,1,explicit_observed:birth_name,google_en_to_hi,P1477,FALSE,77.77777778,Q2248623|Q482980,Q668,0,75,1,,test,0.82,0.88,0.8,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q101251352,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q10218,Q10218,राहुल गाँधी,Rahul Gandhi,रागा,RaGa,hi,2,explicit_plus_alias:nickname,verified_hindi,P1449,FALSE,100,Q82955,Q668,0,57.14285714,1,,test,0.88,0.8,0.57,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q10218,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,verified_hindi,,,,
q104651,Q104651,जॉन सी. माथेर,John C. Mather,जॉन क्रॉमवेल माथेर,John Cromwell Mather,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,65,Q11063|Q1650915|Q169470|Q752129,Q30,0,58.33333333,1,,train,0.67,0.74,0.62,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q104651,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q1047,Q1047,जवाहरलाल नेहरू,Jawaharlal Nehru,नेहरू,Nehru,hi,3,alias_observed,google_en_to_hi,alias,FALSE,90.90909091,Q15627169|Q18814623|Q2285706|Q30242234|Q36180|Q808967|Q82955,Q129286|Q1775277|Q668,0,55.55555556,1,,train,0.84,0.91,0.5,one Latin name contains the other,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q1047,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q1058,Q1058,नरेंद्र मोदी,Narendra Modi,नरेंद्रभाई दामोदरदास मोदी,Narendrabhai Damodardas Modi,hi,1,explicit_observed:birth_name,google_en_to_hi,P1477,FALSE,92.59259259,Q10429346|Q36180|Q7019111|Q82955,Q668,0,64.70588235,1,,train,0.87,0.85,0.6,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q1058,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q105868,Q105868,गैब्रिएला सबातिनी,Gabriela Sabatini,गैब्रिएला बीट्रिज़ सबातिनी,Gabriela Beatriz Sabatini,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,80.76923077,Q10833314,Q38|Q414,0,79.06976744,1,,validation,0.78,0.72,0.78,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q105868,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q105887,Q105887,ह्यूगो अल्मेडा,Hugo Almeida,ह्यूगो मिगुएल परेरा डी अल्मेडा,Hugo Miguel Pereira de Almeida,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,84,Q628099|Q937857,Q45,0,64.70588235,1,,train,0.87,0.82,0.63,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q105887,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q11256,Q11256,फिदेल कास्त्रो,Fidel Castro,फिदेल अलेजान्द्रो कास्त्रो रुज़,Fidel Alejandro Castro Ruz,hi,2,explicit_plus_alias:birth_name,verified_hindi,P1477,FALSE,85.71428571,Q10800557|Q183318|Q185351|Q1930187|Q212948|Q3242115|Q372436|Q40348|Q48352|Q82955,Q241,0,63.41463415,1,,train,0.75,0.82,0.64,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q11256,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,verified_hindi,,,,
q1132040,Q1132040,निल्स वॉन डार्डेल,Nils von Dardel,निल्स एलियास क्रिस्टोफर वॉन डार्डेल,Nils Elias Kristofer von Dardel,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,77.41935484,Q1028181|Q483501,Q34,0,65.2173913,1,,train,0.8,0.79,0.64,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q1132040,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q1149,Q1149,इंदिरा गांधी,Indira Gandhi,इंदिरा नेहरू,Indira Nehru,hi,1,explicit_observed:birth_name,google_en_to_hi,P1477,FALSE,95.65217391,Q36180|Q82955,Q129286|Q1775277|Q668,0,43.47826087,1,,validation,0.89,0.92,0.5,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q1149,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q116070,Q116070,स्कॉट चिपरफ़ील्ड,Scott Chipperfield,स्कॉट केनेथ चिपरफ़ील्ड,Scott Kenneth Chipperfield,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,64,Q628099|Q937857,Q408,0,84.84848485,1,,test,0.67,0.74,0.86,"the two Devanagari names are 86% similar, so Dev-Dev is near-trivial while Lat-Lat is not",yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q116070,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q11662,Q11662,स्टेफ़ी ग्राफ़,Steffi Graf,स्टेफ़नी मारिया ग्राफ़,Stephanie Maria Graf,hi,2,explicit_plus_alias:birth_name,google_en_to_hi,P1477,FALSE,78.94736842,Q10833314|Q2066131|Q33999,Q183,0,68.96551724,1,,train,0.58,0.67,0.75,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q11662,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q116768,Q116768,के. डी. सेठना,K. D. Sethna,अमल किरण,Amal Kiran,hi,2,explicit_plus_alias:pseudonym,google_en_to_hi,P742,FALSE,90,Q1607826|Q201788|Q36180|Q4263842|Q49757,Q129286|Q668,0,12.5,1,,train,0.73,0.82,0.18,,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q116768,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
q118351900,Q118351900,अथर्व ढेकने,Atharva Dhekne,टैसिटोनिक,tacitonic,hi,2,explicit_plus_alias:pseudonym,google_en_to_hi,P742,FALSE,60.86956522,Q128124|Q47541952|Q639669|Q6785368|Q6884071,,0,10.52631579,1,,test,0.85,0.55,0.17,could not verify the entity: alias 'tacitonic' looks like a handle; entity very obscure,yes,yes,yes,yes,yes,,https://www.wikidata.org/wiki/Q118351900,aligned_google_en_to_hi_plus_manual_verification,hindi_converted_601,google_en_to_hi,,,,
