fact_id,qid,name_a_dev,name_a_lat,name_b_dev,name_b_lat,dev_lang,relation_tier,relation_tier_num,name_b_dev_source,name_b_lat_source,generated_lat,occupation_qids,country_qids,review_method,corpus_batch,split,origin
q1001,Q1001,महात्मा गांधी,Mahatma Gandhi,बापू,Bapu,mr,explicit_plus_alias:nickname,2,P1449,alias,False,Q1021386|Q11774156|Q11774202|Q15958642|Q16003550|Q16323111|Q17351648|Q185351|Q18814623|Q1930187|Q22336956|Q30242234|Q3242115|Q36180|Q40348|Q482980|Q4964182|Q808967|Q82955,Q129286|Q1775277|Q668,manual original-corpus review,original,train,native
q101251352,Q101251352,सूरज एंगडे,Suraj Yengde,सूरज मिलिंद एंगडे,Suraj Milind Yengde,mr,explicit_observed:birth_name,1,P1477,P1477,False,Q2248623|Q482980,Q668,manual original-corpus review,original,test,native
q10218,Q10218,राहुल गांधी,Rahul Gandhi,रागा,RaGa,mr,explicit_plus_alias:nickname,2,alias,P1449,False,Q82955,Q668,manual original-corpus review,original,test,native
q104651,Q104651,जॉन सी. माथर,John C. Mather,जॉन क्रोमवेल माथर,John Cromwell Mather,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q11063|Q1650915|Q169470|Q752129,Q30,manual original-corpus review,original,train,foreign
q1047,Q1047,जवाहरलाल नेहरू,Jawaharlal Nehru,नेहरू,Nehru,mr,alias_observed,3,alias,alias,False,Q15627169|Q18814623|Q2285706|Q30242234|Q36180|Q808967|Q82955,Q129286|Q1775277|Q668,manual original-corpus review,original,train,native
q1058,Q1058,नरेंद्र मोदी,Narendra Modi,नरेंद्रभाई दामोदरदास मोदी,Narendrabhai Damodardas Modi,mr,explicit_observed:birth_name,1,P1477,P1477,False,Q10429346|Q36180|Q7019111|Q82955,Q668,manual original-corpus review,original,train,native
q105868,Q105868,गॅब्रियेला सबातिनी,Gabriela Sabatini,गॅब्रियेला बियात्रिझ सबातिनी,Gabriela Beatriz Sabatini,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10833314,Q38|Q414,manual original-corpus review,original,validation,foreign
q105887,Q105887,हुगो अल्मेडा,Hugo Almeida,हुगो मिगेल परेरा दि अल्मेडा,Hugo Miguel Pereira de Almeida,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q628099|Q937857,Q45,manual original-corpus review,original,train,foreign
q11256,Q11256,फिदेल कास्त्रो,Fidel Castro,फिदेल अलेजान्द्रो कास्त्रो रुज़,Fidel Alejandro Castro Ruz,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10800557|Q183318|Q185351|Q1930187|Q212948|Q3242115|Q372436|Q40348|Q48352|Q82955,Q241,manual original-corpus review,original,train,foreign
q1132040,Q1132040,निल्स फोन डार्डेल,Nils von Dardel,निल्स एलियास क्रिस्टोफर फोन डार्डेल,Nils Elias Kristofer von Dardel,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q1028181|Q483501,Q34,manual original-corpus review,original,train,foreign
q1149,Q1149,इंदिरा गांधी,Indira Gandhi,इन्दिरा नेहरू,Indira Nehru,mr,explicit_observed:birth_name,1,P1477,P1477,False,Q36180|Q82955,Q129286|Q1775277|Q668,manual original-corpus review,original,validation,native
q116070,Q116070,स्कॉट चिपरफिल्ड,Scott Chipperfield,स्कॉट केनेथ चिपरफिल्ड,Scott Kenneth Chipperfield,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q628099|Q937857,Q408,manual original-corpus review,original,test,foreign
q11662,Q11662,स्टेफी ग्राफ,Steffi Graf,स्टीफनी मारिया ग्राफ,Stephanie Maria Graf,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10833314|Q2066131|Q33999,Q183,manual original-corpus review,original,train,foreign
q116768,Q116768,के.डी. सेठना,K. D. Sethna,अमल किरण,Amal Kiran,mr,explicit_plus_alias:pseudonym,2,alias,P742,False,Q1607826|Q201788|Q36180|Q4263842|Q49757,Q129286|Q668,manual original-corpus review,original,train,native
q118351900,Q118351900,अथर्व ढेकणे,Atharva Dhekne,टॅसिटॉनिक,tacitonic,mr,explicit_plus_alias:pseudonym,2,alias,P742,False,Q128124|Q47541952|Q639669|Q6785368|Q6884071,,manual original-corpus review,original,test,foreign
q121180,Q121180,व्हादिस्वाफ रेमाँट,Władysław Reymont,व्लादिस्लॉ स्टानिस्लॉ रेमाँट,Władysław Stanisław Rejment,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q12144794|Q28389|Q36180|Q482980|Q6625963,Q207272|Q34266,manual original-corpus review,original,train,foreign
q12897,Q12897,पेले,Pelé,एडिसन अरांटिस डो नैसिमेंटो,Edson Arantes do Nascimento,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10800557|Q2066131|Q33999|Q36834|Q639669|Q82955|Q937857,Q155,manual original-corpus review,original,train,foreign
q13021,Q13021,विनोबा भावे,Vinoba Bhave,विनायक नरहरि भावे,Vinayak Narahari Bhave,mr,alias_observed,3,alias,alias,False,Q1476215|Q16611574|Q36180|Q4964182|Q82955,Q129286|Q1775277|Q668,manual original-corpus review,original,validation,native
q131318,Q131318,हुआन रमोन हिमेनेझ,Juan Ramón Jiménez,हुआन रमोन हिमेनेझ मँतेकॉन,Juan Ramón Jiménez Mantecón,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q36180|Q49757|Q8178443,Q29,manual original-corpus review,original,train,foreign
q131333,Q131333,जॉर्ज इलियट,George Eliot,मेरी ऍन इव्हान्स,Mary Anne Evans,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q11774202|Q1607826|Q1930187|Q333634|Q36180|Q4964182|Q49757|Q6625963,Q174193,manual original-corpus review,original,train,foreign
q131660,Q131660,दॉमिनिक दि व्हियेपाँ,Dominique de Villepin,दॉमिनिक मरी फ्रांस्वा रेने गलूझू दि व्हियेपाँ,Dominique Marie François René Galouzeau de Villepin,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10732476|Q193391|Q20771242|Q2285706|Q36180|Q40348|Q486839|Q6501749|Q7330070|Q82955|Q83307,Q142,manual original-corpus review,original,test,foreign
q132524,Q132524,आयन रँड,Ayn Rand,अलिसा झिनोव्येव्ना रोझेनबाउम,Alisa Zinovyevna Rosenbaum,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q11774202|Q18844224|Q1930187|Q214917|Q28389|Q36180|Q4263842|Q4964182|Q6625963,Q139319|Q15180|Q2184|Q223050|Q30|Q34266,manual original-corpus review,original,train,foreign
q133050,Q133050,सुसान सॅरेंडॉन,Susan Sarandon,सुसान ऍबिगेल टोमालिन,Susan Abigail Tomalin,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10798782|Q10800557|Q15253558|Q2405480|Q3282637|Q33999,Q30,manual original-corpus review,original,train,foreign
q134463226,Q134463226,फुर्की शीक्स,Furky Sheeks,फुरकान मामूर,Furkan Mamur,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q1053574|Q2252262|Q2405480|Q266569|Q28389|Q488205|Q639669|Q7042855|Q779815,Q43,manual original-corpus review,original,train,foreign
q134741,Q134741,कामीय पिसारो,Camille Pissarro,याकोब-आब्राहम-कामीय पिसारो,Jacob Abraham Camille Pissarro,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q1028181|Q11569986|Q16947657|Q1925963|Q2079935|Q20857490,Q142|Q756617,manual original-corpus review,original,train,foreign
q135610,Q135610,ब्रेट होलमन,Brett Holman,ब्रेट ट्रेव्हर होलमन,Brett Trevor Holman,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q937857,Q408,manual original-corpus review,original,train,foreign
q1384896,Q1384896,मार्सेल-पॉल श्युत्झेनबर्गर,Marcel-Paul Schützenberger,मार्को श्युत्झेनबर्गर,Marco Schützenberger,mr,explicit_plus_alias:pseudonym,2,alias,P742,False,Q1622272|Q170790|Q2732142|Q39631|Q82594,Q142,manual original-corpus review,original,train,foreign
q1428440,Q1428440,मायकेल क्लार्क,Michael Clarke,मायकेल जॉन क्लार्क,Michael John Clarke,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q12299841,Q408,manual original-corpus review,original,train,foreign
q146929,Q146929,अजय देवगण,Ajay Devgn,विशाल वीरू देवगन,Vishal Veeru Devgan,mr,explicit_plus_alias:birth_name,2,P1477,alias,False,Q10800557|Q2526255|Q3282637|Q33999|Q43845,Q668,manual original-corpus review,original,train,native
q147589,Q147589,कोलो तूरे,Kolo Touré,कोलो हबिब तूरे,Kolo Abib Touré,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q628099|Q937857,Q1008,manual original-corpus review,original,test,foreign
q148285,Q148285,ओशो,Osho,चन्द्र मोहन जैन,Chandra Mohan Jain,mr,explicit_observed:birth_name,1,P1477,P1477,False,Q12328016|Q15995642|Q18814623|Q36180|Q37226|Q484260,Q129286|Q1775277|Q668,manual original-corpus review,original,train,native
q150552,Q150552,फ्रांत्स फॉन पापेन,Franz von Papen,फ्रांत्स जोसेफ हेर्मान मायकेल मरिया फॉन पापेन,Franz Joseph Hermann Michael Maria von Papen,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q189290|Q193391|Q302691|Q47064|Q82955,Q1206012|Q183,manual original-corpus review,original,train,foreign
q150688,Q150688,पोर्फिरियो दियाझ,Porfirio Díaz,होजे दि ला क्रुझ पॉर्फिरियो दियाझ मोरी,José de la Cruz Porfirio Díaz Mori,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q47064|Q82955,Q96,manual original-corpus review,original,test,foreign
q15081116,Q15081116,देल्सी रॉद्रिगेझ,Delcy Rodriguez,देल्सी एलोइना रॉद्रिगेझ गोमेझ,Delcy Eloína Rodríguez Gómez,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q185351|Q193391|Q40348|Q4825937|Q82955,Q717,manual original-corpus review,original,train,foreign
q156347,Q156347,लता मंगेशकर,Lata Mangeshkar,लता जी,Lataji,mr,alias_observed,3,alias,alias,False,Q10800557|Q1415090|Q1755412|Q177220|Q3282637|Q639669,Q668,manual original-corpus review,original,train,native
q156501,Q156501,सआदत हसन मंटो,Saadat Hasan Manto,मंटो,Manto,mr,explicit_plus_alias:pseudonym,2,alias,P742,False,Q15949613|Q1930187|Q28389|Q333634|Q36180|Q6625963,Q129286|Q2006542|Q668|Q843,manual original-corpus review,original,test,native
q1615,Q1615,नील आर्मस्ट्राँग,Neil Armstrong,नील अल्डेन आर्मस्ट्रॉंग,Neil Alden Armstrong,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10497074|Q11631|Q1622272|Q2095549|Q730242|Q7890793,Q30,manual original-corpus review,original,train,foreign
q16382,Q16382,श्रीमद् राजचंद्र,Shrimad Rajchandra,कवि,Kavi,mr,alias_observed,3,alias,alias,False,Q4964182,Q129286,manual original-corpus review,original,test,native
q163900,Q163900,फ्रान्सिस झेवियर,Francis Xavier,गोंयचो साइब,Gõycho Saib,mr,explicit_observed:nickname,1,P1449,P1449,False,Q11900058|Q1469535|Q219477|Q36180|Q98833890,Q200262|Q217196,manual original-corpus review,original,train,foreign
q173714,Q173714,माक्स ऑय्वे,Max Euwe,माक्गियेलिस ऑय्वे,Machgielis Euwe,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q10873124|Q15916915|Q1622272|Q170790|Q36180|Q82594,Q29999,manual original-corpus review,original,test,foreign
q180383,Q180383,हेलन क्लार्क,Helen Clark,हेलन एलिझाबेथ क्लार्क,Helen Elizabeth Clark,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q1238570|Q1622272|Q82955,Q664,manual original-corpus review,original,train,foreign
q181383,Q181383,महातिर मोहम्मद,Mahathir Mohamad,महाथिर बिन मोहम्मद,Mahathir bin Mohamad,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q18814623|Q2285706|Q2994387|Q3555589|Q36180|Q39631|Q61061|Q82955,Q833|Q871091,manual original-corpus review,original,train,foreign
q182870,Q182870,मारियो पुझो,Mario Puzo,मारियो जियानलुइजी पुझो,Mario Gianluigi Puzo,mr,explicit_plus_alias:birth_name,2,alias,P1477,False,Q18844224|Q193391|Q28389|Q36180|Q6625963,Q30,manual original-corpus review,original,validation,foreign
