fact_id,negative_fact_id,negative_match_score
q1001,q10218,127.0095307713747
q101251352,q196617,122.00963493347167
q10218,q250165,127.00838404774666
q104651,q57384,127.0047648602724
q1047,q319824,127.00989390611649
q1058,q19901232,127.00796588540078
q105868,q180535,122.00966998279095
q105887,q482947,127.00885221540928
q11256,q57063,107.00998135864735
q1132040,q466623,127.00756029546261
q1149,q1058,127.00636721253395
q116070,q187238,127.00883756995201
q11662,q40791,127.00382534325122
q116768,q156501,127.00861920952796
q118351900,q134463226,107.00924786865711
q121180,q132524,127.00802444875241
q12897,q58441,127.00397767901421
q13021,q58292,127.00983501017093
q131318,q185085,122.00362893998623
q131333,q35610,127.00845415651798
q131660,q36268,127.00866877138614
q132524,q40791,127.00900435745716
q133050,q80405,127.0098702543974
q134463226,q223233,107.00994586527348
q134741,q472623,122.00944610774518
q135610,q239513,127.009032741189
q1384896,q80222,127.00243789076805
q1428440,q3522047,122.00852641403675
q146929,q9535,127.00555944740772
q147589,q464234,107.0097412019968
q148285,q1058,127.00734286785126
q150552,q25351,127.00952951490879
q150688,q33391,122.00928859233856
q15081116,q182870,107.0098427182436
q156347,q9570,127.00991203844548
q156501,q116768,127.0087016171217
q1615,q37767,127.00973384678363
q16382,q234898,127.00997274219989
q163900,q148285,105.00755736529827
q173714,q62891,122.0028353714943
q180383,q80222,107.00995410978794
q181383,q42229,107.00995649933814
q182870,q38203,127.00954049825668
q184218,q508255,122.00234804570675
q184572,q260794,127.00970687508583
q193517,q37767,127.00997560977936
q193568,q105887,127.00679234147071
q19848,q44063,127.00843601882458
q201656,q44063,127.00956905722619
q202237,q57079,122.00506346464157
q206181,q392,127.009368147254
q214903,q315674,122.0074589151144
q2153,q7241,127.00970871388913
q219780,q38111,127.00986109912395
q221454,q105868,107.00962964355945
q223233,q191023,127.00888306558132
q2263,q60903,127.00925847053527
q22686,q193517,127.00985069870949
q230151,q133050,127.00963561475277
q232785,q163900,102.00169279634953
q2355026,q260794,127.00447961807251
q23559,q539,127.00470483124256
q24405,q380623,107.00123846232891
q25351,q37030,127.00870237767697
q2628981,q156501,127.00950764358043
q269014,q3284484,127.00032053887844
q26923245,q133050,127.00917999744415
q2808,q34851,127.00955670893192
q28189,q7450,127.00703975617886
q29021,q29213,127.0091350543499
q29110,q29021,127.00579613268376
q29213,q29230,127.00874546527862
q29230,q29213,127.00833026289939
q297142,q72984,127.00553312063217
q302,q23559,107.00999300777912
q3052772,q131660,127.00872238814831
q30875,q36268,127.00877080976963
q311523,q4168161,122.00129886746407
q315500,q111772343,122.00896063625812
q31564,q298448,127.00695832788944
q3284484,q269014,127.0071959578991
q32923,q232451,127.00981101334095
q33228,q131120,122.006786454916
q33391,q1459658,127.0096244442463
q334252,q333981,127.00986885547638
q3346448,q3351160,127.00992166340352
q3351160,q146929,127.00760735809803
q33760,q44593,127.00978913247586
q33977,q80222,127.00931981265545
q34253,q72984,127.009740177989
q34436,q72984,127.00981092751026
q34453,q48283,127.00973442554474
q34460,q22686,127.00996619343758
q34660,q37767,127.00953703343868
q346708,q218401,127.00240167498589
q34836,q41163,127.0099039644003
q34851,q35332,127.00977951049805
q35171,q132524,127.00973466396331
q3520045,q3531214,122.00563916563988
q35236,q92608,127.0094143396616
q35332,q193517,127.00917672932148
q35498,q317521,127.00983343243598
q35610,q131333,127.00976387321948
q35686,q35171,127.00984728455543
q35900,q80137,107.00997605741024
q35912,q133050,127.00994042694569
q36014,q687,107.00992210149765
q36268,q131660,127.00974401474
q3634230,q60068,127.00861316323281
q36661,q954720,122.0088801896572
q37030,q37876,127.00971373736859
q37767,q35236,127.00982166588307
q37876,q40523,127.00977357208728
q38082,q30875,127.00925926864147
q38111,q35332,127.00960056483746
q38203,q80405,127.00846595644951
q38823,q34448,127.00571029782296
q392,q34460,127.00991205632687
q39476,q223233,127.0090947085619
q39831738,q2628981,127.00823612511158
q40523,q41163,127.00974742591382
q40791,q41351,127.00986498057843
q41163,q22686,127.0099613070488
q41314,q35236,127.00979032695294
q41351,q42229,127.0089884263277
q41533,q59192,127.00784759163857
q41563,q33760,127.00556521713733
q41749,q57159,127.00991736650467
q42229,q201656,127.00995145738125
q42247,q3052772,127.0092323589325
q42410,q315500,107.0091373127699
q42786,q44461,127.00712354838848
q42992,q30487,127.00879303336143
q43347,q38823,127.00772550463677
q43416,q260794,127.00974554657937
q43459,q193871,107.00988896369934
q43723,q191123,127.00990666329861
q43744,q57079,122.00488223791122
q44063,q40523,127.00961502194404
q44461,q80405,127.00939074099064
